load_ts,time,user
2022-12-01 00:31:00.000,00:01:49,FaazoHuyzeoSix
2022-12-01 01:23:00.000,00:01:55,Floralnomad
2022-12-01 06:19:00.000,00:02:28,Hepzibar
2022-12-01 07:07:00.000,00:00:52,Sunbird24
2022-12-01 07:18:00.000,00:01:24,oviraptor21
2022-12-01 07:20:00.000,00:00:59,JoyDivisionOvenGlovesx
2022-12-01 07:22:00.000,00:03:32,DadDadDad
2022-12-01 08:03:00.000,00:01:29,UmbilicusProfundus
2022-12-01 08:52:00.000,00:02:12,Stokey
2022-12-01 09:08:00.000,00:00:59,MarmiteWine
2022-12-01 11:49:00.000,00:02:46,Swissnotswiss
2022-12-01 15:14:00.000,00:01:20,Readytostartagain
2022-12-01 16:17:00.000,00:03:13,Drywhitefruitycidergin
2022-12-01 16:59:00.000,00:06:51,hoochyhag
2022-12-02 01:10:00.000,00:01:11,Floralnomad
2022-12-02 01:24:00.000,00:01:08,Sunbird24
2022-12-02 06:19:00.000,00:02:59,Hepzibar
2022-12-02 06:42:00.000,00:01:45,JoyDivisionOvenGlovesx
2022-12-02 07:15:00.000,00:01:27,Readytostartagain
2022-12-02 07:25:00.000,00:01:25,oviraptor21
2022-12-02 07:27:00.000,00:02:27,DadDadDad
2022-12-02 07:44:00.000,00:03:47,BrilliantGreenFlamingo
2022-12-02 07:55:00.000,00:02:35,UmbilicusProfundus
2022-12-02 21:19:00.000,00:04:29,Drywhitefruitycidergin
2022-12-02 21:34:00.000,00:01:19,MarmiteWine
2022-12-03 00:11:00.000,00:02:22,Drywhitefruitycidergin
2022-12-03 00:35:00.000,00:01:21,Floralnomad
2022-12-03 02:15:00.000,00:01:10,Sunbird24
2022-12-03 05:20:00.000,00:00:58,JoyDivisionOvenGlovesx
2022-12-03 07:49:00.000,00:00:49,MarmiteWine
2022-12-03 08:04:00.000,00:02:10,Hepzibar
2022-12-03 08:14:00.000,00:02:02,DadDadDad
2022-12-03 08:37:00.000,00:01:53,LikeTearsInRain
