_id,load_ts,time,user
63fc4a1b2e23ec471aede76b,2023-02-27T06:13:47.100Z,02:24,Tom
63fcb5872e23ec471aede76e,2023-02-27T13:52:07.662Z,00:36,Oliver Folkard
63fcf5040e05a672f8a34d54,2023-02-27T18:23:00.997Z,01:15,Harvey Williams
63fd31d62e23ec471aede772,2023-02-27T22:42:30.253Z,05:25,Sazzle
63fdc9140e05a672f8a34d5a,2023-02-28T09:27:48.282Z,03:17,Joe
63fdd8122e23ec471aede779,2023-02-28T10:31:46.488Z,06:48,George Sheen
63fde8f32e23ec471aede77d,2023-02-28T11:43:47.230Z,02:58,Harvey Williams
63fde9490e05a672f8a34d5e,2023-02-28T11:45:13.300Z,02:42,Oliver Folkard
63fe36b62e23ec471aede784,2023-02-28T17:15:34.676Z,06:17,Tom
63fef2e32e23ec471aede788,2023-03-01T06:38:27.101Z,02:21,Tom
63ff0e842e23ec471aede78c,2023-03-01T08:36:20.726Z,01:00,Joe
63ff1c152e23ec471aede78f,2023-03-01T09:34:13.030Z,00:56,Harvey Williams
63ff4ec20e05a672f8a34d67,2023-03-01T13:10:26.623Z,00:30,Oliver Folkard
63ff9f160e05a672f8a34d6c,2023-03-01T18:53:10.943Z,00:41,George Sheen
64004e780e05a672f8a34d6e,2023-03-02T07:21:28.598Z,02:46,Tom
640074500e05a672f8a34d72,2023-03-02T10:02:56.535Z,01:07,George Sheen
64007ff60e05a672f8a34d74,2023-03-02T10:52:38.502Z,01:23,Joe
64008ca80e05a672f8a34d79,2023-03-02T11:46:48.572Z,01:41,Harvey Williams
6400a6772e23ec471aede79c,2023-03-02T13:36:55.110Z,00:50,Oliver Folkard
6400fd4f0e05a672f8a34d7e,2023-03-02T19:47:27.143Z,05:30,Sazzle
6401c4bb0e05a672f8a34d82,2023-03-03T09:58:19.299Z,00:55,Joe
6401e8ef0e05a672f8a34d85,2023-03-03T12:32:47.172Z,02:18,Harvey Williams
6401ec302e23ec471aede7a4,2023-03-03T12:46:40.728Z,00:44,George Sheen
6401f18d0e05a672f8a34d8a,2023-03-03T13:09:33.688Z,00:26,Oliver Folkard
6402396b0e05a672f8a34d8e,2023-03-03T18:16:11.678Z,01:41,Tom
6402432d0e05a672f8a34d91,2023-03-03T18:57:49.566Z,03:37,Sazzle
6403263d2e23ec471aede7ab,2023-03-04T11:06:37.349Z,00:47,Joe
64032f7e2e23ec471aede7b1,2023-03-04T11:46:06.949Z,01:03,Oliver Folkard
64033a9c0e05a672f8a34d97,2023-03-04T12:33:32.984Z,01:07,George Sheen
64033ebd0e05a672f8a34d9b,2023-03-04T12:51:09.853Z,05:11,Tom
64034f9a2e23ec471aede7b7,2023-03-04T14:03:06.832Z,02:41,Harvey Williams
6403bafc2e23ec471aede7bb,2023-03-04T21:41:16.472Z,09:12,Sazzle
6403dd2c0e05a672f8a34d9f,2023-03-05T00:07:08.333Z,02:07,Harvey Williams
6403ddfc2e23ec471aede7c3,2023-03-05T00:10:36.254Z,01:39,Tom
6403de0a2e23ec471aede7c8,2023-03-05T00:10:50.447Z,01:13,Oliver Folkard
6404adb80e05a672f8a34da2,2023-03-05T14:56:56.781Z,08:21,Joe
64059ae42e23ec471aede7ce,2023-03-06T07:48:52.467Z,03:10,Joe
6405e6db2e23ec471aede7d2,2023-03-06T13:12:59.326Z,00:47,George Sheen
6405e8cd0e05a672f8a34da8,2023-03-06T13:21:17.582Z,03:40,Tom
64070b5b0e05a672f8a34dab,2023-03-07T10:00:59.472Z,01:41,Joe
640723d12e23ec471aede7da,2023-03-07T11:45:21.862Z,01:53,Tom
64072ab22e23ec471aede7de,2023-03-07T12:14:42.062Z,01:09,George Sheen
64072da82e23ec471aede7e0,2023-03-07T12:27:20.820Z,02:10,Harvey Williams
640757ef2e23ec471aede7f0,2023-03-07T15:27:43.563Z,04:55,Oliver Folkard
6407ba902e23ec471aede7f4,2023-03-07T22:28:32.207Z,03:41,Sazzle
640853552e23ec471aede7f7,2023-03-08T09:20:21.367Z,00:44,Joe
6408774b0e05a672f8a34dc0,2023-03-08T11:53:47.579Z,00:36,George Sheen
6408805a0e05a672f8a34dc4,2023-03-08T12:32:26.756Z,03:25,Harvey Williams
640881092e23ec471aede7fb,2023-03-08T12:35:21.001Z,01:10,Tom
640889f50e05a672f8a34dcb,2023-03-08T13:13:25.406Z,00:39,Oliver Folkard
64099a340e05a672f8a34dcf,2023-03-09T08:35:00.803Z,02:31,Tom
6409a8c42e23ec471aede801,2023-03-09T09:37:08.640Z,01:16,Joe
6409d8b72e23ec471aede805,2023-03-09T13:01:43.580Z,01:46,George Sheen
6409d9980e05a672f8a34dd5,2023-03-09T13:05:28.801Z,00:54,Harvey Williams
640a4d230e05a672f8a34dd8,2023-03-09T21:18:27.693Z,04:05,Sazzle
640b05020e05a672f8a34ddc,2023-03-10T10:22:58.224Z,06:43,Harvey Williams
640b09870e05a672f8a34ddf,2023-03-10T10:42:15.242Z,01:45,Joe
640b2e740e05a672f8a34de5,2023-03-10T13:19:48.646Z,02:32,Oliver Folkard
640b7b652e23ec471aede810,2023-03-10T18:48:05.438Z,06:44,Sazzle
640b7cb50e05a672f8a34dec,2023-03-10T18:53:41.088Z,01:29,George Sheen
640cda512e23ec471aede813,2023-03-11T19:45:21.286Z,03:39,Harvey Williams
640cda880e05a672f8a34df2,2023-03-11T19:46:16.344Z,02:55,Leah
640cdaa10e05a672f8a34df6,2023-03-11T19:46:41.336Z,04:18,Joe
640cdac42e23ec471aede816,2023-03-11T19:47:16.135Z,00:58,George Sheen
640e05f30e05a672f8a34dfe,2023-03-12T17:03:47.335Z,01:29,George Sheen
640e09422e23ec471aede81a,2023-03-12T17:17:54.019Z,03:40,Tom
640e1f902e23ec471aede81e,2023-03-12T18:53:04.100Z,00:38,Joe
640e2f352e23ec471aede822,2023-03-12T19:59:49.727Z,03:02,Harvey Williams
640e516a2e23ec471aede829,2023-03-12T22:25:46.390Z,00:29,Sazzle
640ec10d0e05a672f8a34e05,2023-03-13T06:22:05.242Z,03:20,Tom
640eeb790e05a672f8a34e09,2023-03-13T09:23:05.204Z,01:27,Joe
640f76ce2e23ec471aede82f,2023-03-13T19:17:34.247Z,05:44,Harvey Williams
64103ef02e23ec471aede833,2023-03-14T09:31:28.525Z,01:46,Joe
64105e122e23ec471aede838,2023-03-14T11:44:18.320Z,05:15,Harvey Williams
