load_ts,user,time
2022-12-01 11:49:00.000,Swissnotswiss,00:02:46
2022-12-01 15:14:00.000,Readytostartagain,00:01:20
2022-12-01 16:17:00.000,Drywhitefruitycidergin,00:03:13
2022-12-01 16:59:00.000,hoochyhag,00:06:51
2022-12-02 01:10:00.000,Floralnomad,00:01:11
2022-12-02 01:24:00.000,Sunbird24,00:01:08
2022-12-02 06:19:00.000,Hepzibar,00:02:59
2022-12-02 06:42:00.000,JoyDivisionOvenGlovesx,00:01:45
2022-12-02 07:15:00.000,Readytostartagain,00:01:27
2022-12-02 07:25:00.000,oviraptor21,00:01:25
2022-12-02 07:27:00.000,DadDadDad,00:02:27
2022-12-02 07:44:00.000,BrilliantGreenFlamingo,00:03:47
2022-12-02 07:55:00.000,UmbilicusProfundus,00:02:35
2022-12-02 21:19:00.000,Drywhitefruitycidergin,00:04:29
2022-12-02 21:34:00.000,MarmiteWine,00:01:19
2022-12-03 00:11:00.000,Drywhitefruitycidergin,00:02:22
2022-12-03 00:35:00.000,Floralnomad,00:01:21
2022-12-03 02:15:00.000,Sunbird24,00:01:10
2022-12-03 05:20:00.000,JoyDivisionOvenGlovesx,00:00:58
2022-12-03 07:49:00.000,MarmiteWine,00:00:49
2022-12-03 08:04:00.000,Hepzibar,00:02:10
2022-12-03 08:14:00.000,DadDadDad,00:02:02
2022-12-03 08:37:00.000,LikeTearsInRain,00:01:53
2022-12-03 09:19:00.000,Stokey,00:01:38
2022-12-03 10:23:00.000,AngeloMysterioso,00:01:03
2022-12-03 13:08:00.000,UmbilicusProfundus,00:01:18
2022-12-03 15:18:00.000,Readytostartagain,00:01:02
2022-12-03 15:52:00.000,oviraptor21,00:01:41
2022-12-03 17:28:00.000,hoochyhag,00:06:27
2022-12-04 00:21:00.000,Floralnomad,00:01:31
2022-12-04 00:42:00.000,Sunbird24,00:01:19
2022-12-04 08:10:00.000,JoyDivisionOvenGlovesx,00:01:08
2022-12-04 08:10:00.000,Hepzibar,00:02:37
2022-12-04 08:11:00.000,BrilliantGreenFlamingo,00:06:44
2022-12-04 08:31:00.000,DadDadDad,00:04:52
2022-12-04 09:38:00.000,oviraptor21,00:04:55
2022-12-04 09:56:00.000,Stokey,00:02:09
